freq,psd_x,psd_y,psd_z,psd_xyz
185.8,1.098e+02,3.053e+02,7.874e+02,1.202e+03
187.3,1.687e+02,3.422e+02,7.764e+02,1.287e+03
188.9,2.945e+02,4.147e+02,7.748e+02,1.484e+03
190.4,2.832e+02,4.495e+02,7.728e+02,1.506e+03
192.0,2.168e+02,4.716e+02,7.736e+02,1.462e+03
193.6,2.340e+02,5.309e+02,8.325e+02,1.597e+03
195.1,2.809e+02,6.314e+02,8.906e+02,1.803e+03
196.7,2.872e+02,6.110e+02,9.503e+02,1.848e+03
198.2,2.743e+02,5.818e+02,9.965e+02,1.853e+03
199.8,2.764e+02,6.765e+02,1.120e+03,2.073e+03
